tweet_id,user_id,text,user_screen_name,username,date,retweets,likes,replies
1091811353634000899,339840629,Usar aqueles calendários de propaganda de aviário hauhuahsugya,igoranjoss__,Igor Anjos,1549143086000,0,1,0
1091770160761982978,339840629,"Precisava de um bullet journal pra me organizar melhor, mas não tenho nem o empenho nem a capacidade de fazer um.......",igoranjoss__,Igor Anjos,1549133265000,1,0,1
1091271934183124992,339840629,Eu to tão desacostumado a não estar atrasado que quando eu estou adiantado eu fico fazendo alguma coisa pra passar o tempo até dar meu horário e me atraso,igoranjoss__,Igor Anjos,1549014478000,0,1,0
1091160899853918208,339840629,pic.twitter.com/spByT6oTyM,igoranjoss__,Igor Anjos,1548988005000,0,1,0
1091160769914380289,339840629,É....https://twitter.com/evenlyadriane/status/1090917547195666433 …,igoranjoss__,Igor Anjos,1548987974000,0,0,1
1090793051038072832,160380909,Parem de falar do Igor Jesus que daqui a pouco o palmeiras escuts,AssuncaoComP,primo do Fabio,1548900303000,1,1,0
1091007199659331584,339840629,"Coitado do Max, ele que fazia as paradas daora quando eu tava lá",igoranjoss__,Igor Anjos,1548951360000,0,0,1
1090925645339725824,339840629,O Ciro?,igoranjoss__,Igor Anjos,1548931916000,0,1,1
1090728946168139776,339840629,pic.twitter.com/ESvcomTqkW,igoranjoss__,Igor Anjos,1548885020000,0,0,0
1090728873996750849,339840629,“Eu por mim podia abortar até os 22 anos” hahahahaha sensacional,igoranjoss__,Igor Anjos,1548885002000,0,0,1
1090370710512562176,339840629,"Consegui uma entrevista de estágio 
A empresa é depois de Contenda ",igoranjoss__,Igor Anjos,1548799610000,0,5,0
1090111722088812544,180437198,os caras tão brincando de roleta russa com uma pistola??????https://twitter.com/g1/status/1089980181073330176 …,eusourafao,FLOW ACARAJÉ,1548737862000,6225,17170,183
1089926796378804224,339840629,“When I’m in Brazil I speak Brazilian” só ela mesmo,igoranjoss__,Igor Anjos,1548693772000,0,1,1
1088834164479139840,73994967,Brazil 2019pic.twitter.com/cJhQFKFWJk,ninafariag,Marina,1548433269000,3252,5763,7
1089926230743359488,339840629,"Tava quase comprando ingresso pro show do Armandinho, aí lembrei que tenho um toxicológico pra fazer e tive que desistir da ideia :(",igoranjoss__,Igor Anjos,1548693637000,0,0,0
1089909357519740930,339840629,"O meu tava lá no meio, só pra dizer que eu não esqueci mesmo, blz? Hahaha",igoranjoss__,Igor Anjos,1548689615000,0,0,1
1089833425765351424,339840629,Fodeu muitopic.twitter.com/AjooVytD84,igoranjoss__,Igor Anjos,1548671511000,0,0,0
1089652130275885056,339840629,Hahahahahahaha mas se tem switch tem mais que se ferrar mesmo (brincadeira),igoranjoss__,Igor Anjos,1548628287000,0,1,1
1089631642015186944,339840629,Tá certo hauahaua pelo menos ninguém se ofendeu hahahahahahaha,igoranjoss__,Igor Anjos,1548623402000,0,1,1
1089628891831042048,339840629,"Gostei da comparação com os consoles, muito didático",igoranjoss__,Igor Anjos,1548622746000,0,0,1
